,rx,semivar_x,semivar_x_norm,ry,semivar_y,semivar_y_norm
0,0,0.0,0.0,0,0.0,0.0
1,1,2.2816,0.5007022471910113,1,1.6736,0.3698727015558699
2,2,3.4144,0.7492977528089888,2,2.4352,0.5381895332390382
3,3,4.0288,0.8841292134831461,3,2.7936,0.6173974540311175
4,4,4.3168,0.9473314606741573,4,3.0592,0.6760961810466761
5,5,4.4192,0.9698033707865169,5,3.2384,0.7157001414427157
6,6,4.4544,0.9775280898876404,6,3.376,0.7461103253182461
7,7,4.432,0.9726123595505619,7,3.5104,0.7758132956152759
8,8,4.4192,0.9698033707865169,8,3.5968,0.7949080622347949
9,9,4.432,0.9726123595505619,9,3.6448,0.8055162659123055
10,10,4.4416,0.9747191011235956,10,3.7216,0.8224893917963225
11,11,4.4928,0.9859550561797753,11,3.7376,0.826025459688826
12,12,4.528,0.9936797752808988,12,3.8048,0.8408769448373409
13,13,4.5312,0.9943820224719101,13,3.856,0.8521923620933521
14,14,4.544,0.997191011235955,14,3.9168,0.8656294200848657
15,15,4.5376,0.9957865168539327,15,3.92,0.8663366336633663
16,16,4.5408,0.9964887640449438,16,3.9296,0.8684582743988685
17,17,4.5568,1.0,17,3.9488,0.8727015558698726
18,18,4.544,0.997191011235955,18,4.0,0.884016973125884
19,19,4.5568,1.0,19,4.0128,0.8868458274398869
20,20,4.5216,0.9922752808988765,20,4.0128,0.8868458274398869
21,21,4.5216,0.9922752808988765,21,4.0256,0.8896746817538896
22,22,4.5152,0.990870786516854,22,4.0448,0.893917963224894
23,23,4.5056,0.9887640449438203,23,4.0608,0.8974540311173975
24,24,4.5088,0.9894662921348315,24,4.0736,0.9002828854314002
25,25,4.528,0.9936797752808988,25,4.1024,0.9066478076379068
26,26,4.4992,0.9873595505617978,26,4.1312,0.913012729844413
27,27,4.4896,0.9852528089887641,27,4.1632,0.92008486562942
28,28,4.4864,0.9845505617977528,28,4.1856,0.925035360678925
29,29,4.4864,0.9845505617977528,29,4.2048,0.9292786421499292
30,30,4.4672,0.9803370786516854,30,4.2272,0.9342291371994342
31,31,4.448,0.9761235955056181,31,4.224,0.9335219236209336
32,32,4.4672,0.9803370786516854,32,4.2208,0.9328147100424328
33,33,4.5312,0.9943820224719101,33,4.2528,0.9398868458274399
34,34,4.5504,0.9985955056179775,34,4.2656,0.9427157001414428
35,35,4.5568,1.0,35,4.2496,0.9391796322489392
36,36,4.5408,0.9964887640449438,36,4.24,0.9370579915134372
37,37,4.5376,0.9957865168539327,37,4.2144,0.9314002828854315
38,38,4.5312,0.9943820224719101,38,4.176,0.922913719943423
39,39,4.4896,0.9852528089887641,39,4.1536,0.917963224893918
40,40,4.5248,0.9929775280898876,40,4.144,0.9158415841584159
41,41,4.5472,0.9978932584269663,41,4.1344,0.9137199434229138
42,42,4.5088,0.9894662921348315,42,4.1152,0.9094766619519095
43,43,4.4896,0.9852528089887641,43,4.1248,0.9115983026874115
44,44,4.4768,0.9824438202247191,44,4.1888,0.9257425742574257
45,45,4.4608,0.9789325842696629,45,4.2176,0.9321074964639321
46,46,4.4384,0.9740168539325842,46,4.2688,0.9434229137199434
47,47,4.4416,0.9747191011235956,47,4.2944,0.9490806223479492
48,48,4.4352,0.973314606741573,48,4.3136,0.9533239038189534
49,49,4.4512,0.9768258426966292,49,4.3168,0.9540311173974539
50,50,4.4608,0.9789325842696629,50,4.3136,0.9533239038189534
51,51,4.4896,0.9852528089887641,51,4.272,0.9441301272984441
52,52,4.4608,0.9789325842696629,52,4.2656,0.9427157001414428
53,53,4.4576,0.9782303370786517,53,4.224,0.9335219236209336
54,54,4.4384,0.9740168539325842,54,4.2336,0.9356435643564357
55,55,4.4352,0.973314606741573,55,4.2592,0.9413012729844413
56,56,4.4384,0.9740168539325842,56,4.256,0.9405940594059407
57,57,4.4224,0.970505617977528,57,4.2848,0.946958981612447
58,58,4.4704,0.9810393258426966,58,4.3296,0.9568599717114569
59,59,4.464,0.9796348314606742,59,4.3776,0.9674681753889676
60,60,4.4416,0.9747191011235956,60,4.4032,0.9731258840169731
61,61,4.4096,0.9676966292134832,61,4.4512,0.9837340876944838
62,62,4.384,0.9620786516853933,62,4.4768,0.9893917963224894
63,63,4.3776,0.9606741573033708,63,4.4896,0.9922206506364923
64,64,4.432,0.9726123595505619,64,4.5248,1.0
65,65,4.432,0.9726123595505619,65,4.5184,0.9985855728429985
66,66,4.4288,0.9719101123595505,66,4.5024,0.995049504950495
67,67,4.448,0.9761235955056181,67,4.4768,0.9893917963224894
68,68,4.48,0.9831460674157304,68,4.4864,0.9915134370579914
69,69,4.4448,0.9754213483146067,69,4.48,0.9900990099009902
70,70,4.4608,0.9789325842696629,70,4.48,0.9900990099009902
71,71,4.4384,0.9740168539325842,71,4.4448,0.9823196605374823
72,72,4.432,0.9726123595505619,72,4.4512,0.9837340876944838
73,73,4.4608,0.9789325842696629,73,4.4384,0.9809052333804809
74,74,4.4832,0.9838483146067416,74,4.4416,0.9816124469589816
75,75,4.5056,0.9887640449438203,75,4.4416,0.9816124469589816
76,76,4.4864,0.9845505617977528,76,4.4384,0.9809052333804809
77,77,4.48,0.9831460674157304,77,4.4352,0.9801980198019802
78,78,4.448,0.9761235955056181,78,4.4512,0.9837340876944838
79,79,4.4224,0.970505617977528,79,4.4576,0.9851485148514852
80,80,4.464,0.9796348314606742,80,4.4448,0.9823196605374823
81,81,4.4544,0.9775280898876404,81,4.4416,0.9816124469589816
82,82,4.4544,0.9775280898876404,82,4.4416,0.9816124469589816
83,83,4.4448,0.9754213483146067,83,4.464,0.9865629420084867
84,84,4.4128,0.9683988764044944,84,4.448,0.9830268741159831
85,85,4.4384,0.9740168539325842,85,4.4576,0.9851485148514852
86,86,4.464,0.9796348314606742,86,4.48,0.9900990099009902
87,87,4.512,0.9901685393258426,87,4.464,0.9865629420084867
88,88,4.5312,0.9943820224719101,88,4.48,0.9900990099009902
89,89,4.512,0.9901685393258426,89,4.5088,0.9964639321074965
90,90,4.512,0.9901685393258426,90,4.5248,1.0
91,91,4.4928,0.9859550561797753,91,4.5216,0.9992927864214993
92,92,4.4672,0.9803370786516854,92,4.512,0.9971711456859971
93,93,4.4672,0.9803370786516854,93,4.5056,0.9957567185289958
94,94,4.48,0.9831460674157304,94,4.4864,0.9915134370579914
95,95,4.4832,0.9838483146067416,95,4.4768,0.9893917963224894
96,96,4.4768,0.9824438202247191,96,4.4608,0.9858557284299858
97,97,4.512,0.9901685393258426,97,4.4704,0.987977369165488
98,98,4.5408,0.9964887640449438,98,4.4864,0.9915134370579914
99,99,4.5344,0.9950842696629213,99,4.4928,0.9929278642149929
